(4523412, 454121), a(d')=3
(123454321, 454121), a(d')=3

(3423, 234232), a(d')=2
(23432, 234232), a(d')=3
(345234123, 234232), a(d')=3

(2312, 5123121), a(d')=2
(52312, 5123121), a(d')=3
(12321, 5123121), a(d')=3
(512321, 5123121), a(d')=4
(123454321, 5123121), a(d')=3
(345234123, 5123121), a(d')=3

(4534, 3453431), a(d')=2
(34543, 3453431), a(d')=3
(45341, 3453431), a(d')=3
(345431, 3453431), a(d')=4
(123454321, 3453431), a(d')=3
(345234123, 3453431), a(d')=3

(2345432, 23454232), a(d')=3
(345234123, 23454232), a(d')=3

(1234321, 12342321), a(d')=3
(345234123, 12342321), a(d')=3

(345234123, 34541231), a(d')=3
(123454321, 34541231), a(d')=3

(345234123, 2345412312), a(d')=3

(345234123, 3451234231), a(d')=3

(4523412, 12345343121), a(d')=3
(123454321, 12345343121), a(d')=3
